Number,First Name,Last Name,Email Address,Department,Division,Completed On,Respondent IP,Employee Commitment and Satisfaction:ECS_Q1,Employee Commitment and Satisfaction:ECS_Q2,Employee Commitment and Satisfaction:ECS_Q3,Employee Commitment and Satisfaction:ECS_Q4,Employee Commitment and Satisfaction:ECS_Q5,Employee Commitment and Satisfaction:ECS_Q6,Workplace Environment and Culture:WEC_Q1,Workplace Environment and Culture:WEC_Q2,Workplace Environment and Culture:WEC_Q3,Workplace Environment and Culture:WEC_Q4,Workplace Environment and Culture:WEC_Q5,Compensation & Benefits:CB_Q1,Compensation & Benefits:CB_Q2,Compensation & Benefits:CB_Q3,Compensation & Benefits:CB_Q4,Performance Management:PM_Q1,Performance Management:PM_Q2,Performance Management:PM_Q3,Performance Management:PM_Q4,Performance Management:PM_Q5,Performance Management:PM_Q6,Performance Management:PM_Q7,Career Development and Training:CDT_Q1,Career Development and Training:CDT_Q2,Career Development and Training:CDT_Q3,Career Development and Training:CDT_Q4,Career Development and Training:CDT_Q5,Career Development and Training:CDT_Q6,Communications:COMM_Q1,Communications:COMM_Q2,Communications:COMM_Q3,Communications:COMM_Q4,Team Effectiveness:TE_Q1,Team Effectiveness:TE_Q2,Team Effectiveness:TE_Q3,Team Effectiveness:TE_Q4,Team Effectiveness:TE_Q5,Job Stress:JS_Q1,Job Stress:JS_Q2,Job Stress:JS_Q3,Company Image:CI_Q1,Company Image:CI_Q2,Company Image:CI_Q3,Company Image:CI_Q4,Strategy:STRAT_Q1,Strategy:STRAT_Q2,Strategy:STRAT_Q3,"On a scale of zero to ten, how likely is it that you would recommend Company to friends as a great place to work?",What 2-3 things do you value most about working at Company?,What 2-3 things should Company begin to do?,What 2-3 things should Company stop doing?,Please provide suggestions for ongoing improvement to the performance feedback process.
10000083,FNAME84,LNAME84,,Center of Excellence,Shared Services,2/15/2017 8:46,100.000.000.083,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Disagree,Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Strongly Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,7,,,,
10000084,FNAME85,LNAME85,,Order Management,Shared Services,2/15/2017 9:22,100.000.000.084,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,8,,,,
10000085,FNAME86,LNAME86,,IT,Corporate,2/15/2017 9:35,100.000.000.085,Somewhat Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Disagree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,4,The team I work with.,"401-K Matching, and the more judicious and insightful application of non-critical policies.",Automating obviously flawed processes.,"Stop asking opaque, meaningless questions."
10000086,FNAME87,LNAME87,,Production,Operations,2/15/2017 10:28,100.000.000.086,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,5,"The environment is very dynamic, which is very motivating to me.
My overall compensation is appropriate for the level of contribution to processes leading to success.","Add new business lines as a means to increase overall revenue.
Make use of voice recognition technology as a means to reduce costs.
Implement a comprehensive career path program, which includes compensation considerations.","Any additional centralization of processes that involve direct client interaction.
Delivering Discs.",Implement a semi-annual review process.
10000087,FNAME88,LNAME88,,National Operations,Operations,2/15/2017 10:34,100.000.000.087,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,9,"Team work
Open door policy with upper management",401k match,Nothing comes to mind.,
10000088,FNAME89,LNAME89,,Production,Operations,2/15/2017 12:13,100.000.000.088,Agree,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,9,"Loyalty to me.
Helping clients get what they need.","More consistant with commication to field.
Recognize and reward employyes for going above and beyond more often.",Not sure if I can think of anything.,More tired to local job set.
10000089,FNAME90,LNAME90,,Onboarding/Case Management,Shared Services,2/15/2017 12:09,100.000.000.089,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,8,,,,
10000090,FNAME91,LNAME91,,Finance,Corporate,2/15/2017 13:47,100.000.000.090,Agree,Somewhat Disagree,Agree,Agree,Agree,Agree,Somewhat Agree,Disagree,Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Disagree,Disagree,Agree,Somewhat Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,6,,,,Get rid of the whole Talent Quest suite of tools.
10000091,FNAME92,LNAME92,,PMO/HR/Executive,Corporate,2/15/2017 14:56,100.000.000.091,Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Disagree,Agree,Somewhat Agree,Disagree,Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,0,"1) My paycheck
2) Camaraderie with coworkers
3) Working with my manager","Start treating employees the same, regardless of where they sit in the company food-chain. There is a palpable recognition within the company that those at the higher end of the earning spectrum are held to a much lower level of accountability, while those in production are terminated at the slightest infraction. These double-standards in the company create a toxic atmosphere.","The dress code. It was a morale buster that is out of step with today's workplace, addressed a non-problem, and places a much higher economic burden on the lower earners of this company.","My guess is that the non-anonymous nature of this survey will skew results in favor of management. I know that answers are compiled, but the fact that survey takers have to confirm their identity before proceeding through the survey is going to prevent respondents from answering honestly."
10000092,FNAME93,LNAME93,,Collections,Shared Services,2/15/2017 15:22,100.000.000.092,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,10,"The 'work from home' model in Collections.
A great and very understanding upstream management team
Goals are very clearly defined","NS improvements for Collections area
Distribute a list of employee phone ext numbers",Allowing COD clients to still obtain copy side orders.,
10000093,FNAME94,LNAME94,,Finance,Corporate,2/15/2017 14:47,100.000.000.093,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,8,"Team Environment.
Benefits packages.","Go paperless.
Match 401k",,
10000094,FNAME95,LNAME95,,Finance,Corporate,2/16/2017 10:00,100.000.000.094,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Disagree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Disagree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,7,"Always something different from day to day, and we're always working toward improvement","Matching 401K, emphasize improving work-life balance for all employees, and invest in the existing human talent in all departments",,
10000095,FNAME96,LNAME96,,Center of Excellence,Shared Services,2/16/2017 11:26,100.000.000.095,Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,8,"Friendly and helpful coworkers.
Opportunity to learn new things.","More continual training for local offices and COE.
Have consistent procedures.",N/A,"Listen to a good call and an improvement needed call during one on one review.
Provide the performance forms for agents review."
10000096,FNAME97,LNAME97,,PMO/HR/Executive,Corporate,2/16/2017 13:33,100.000.000.096,Agree,Somewhat Disagree,Agree,Somewhat Disagree,Strongly Agree,Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Disagree,Disagree,Agree,Agree,Agree,Somewhat Disagree,Agree,Strongly Agree,Agree,Strongly Agree,5,"-my team is amazing
-my work/life balance is great
-I am learning new things every day",,"-concentrating on internal minutia instead of client needs
-failing to implement new processes that would help our clients",
10000097,FNAME98,LNAME98,,Inside Sales,Marketing/Sales,2/16/2017 14:32,100.000.000.097,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,9,"1. My Inside Sales team. Everyone is very supportive and works well as a team. 
2. Autonomy. I am not micro-managed, which allows me to perform to the best of my ability.","1. Better benefits package! Our health benefits could be much better to decrease out of pocket expenses for medical care. This health package is the worst I've had. 
2. Match 401k. This would encourage employees to stay and not leave for a company with a more well rounded benefits package. 
3. Make it easier to communicate across departments. Sending an email to 'Client Care' and not to a specific person takes the human element out and does not help the cohesiveness of the overall team.",1. Stop only investing in technology and also invest in improving the full benefits package for its employees.,
10000098,FNAME99,LNAME99,,IT,Corporate,2/16/2017 16:16,100.000.000.098,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Agree,6,"+ Flexible schedule
+ Great team members","+ Improve existing systems, especially CompanyConnect

+ Add an 'I don't know' or 'NA' response to these surveys.  Not all these questions apply to all roles yet I am required to pick an answer.  That will not help produce accurate results.","+ Highly formalized overly generic annual reviews
+ Pretending that a happy productive workforce is one or two TalentQuest programs away from us","+ Don't make it required.
+ Don't do this once or twice a year.  There should always be an anonymous method to submit feedback."
10000099,FNAME100,LNAME100,,Field Sales,Northeast Region,2/16/2017 22:44,100.000.000.099,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,7,"I enjoy the face to face meetings with our clients.

I really enjoy working with most of the members of the NYC team.

Winning new business and maintaining business is extremely gratifying.","Be more competitive in pricing.  When pricing, you are not just bidding for the proposal at hand but an opportunity to open the floodgates with a client.

Develop junior case managers in each office.   Salesmen should spend less time on troubleshooting issues and more time selling.","Too many meetings take away from time to sell

Performance evaluations in which average is the best you can expect","If I am at 100% of my goal....maybe....I did a pretty decent job, even better than just average

If I blew out my numbers...more than likely I did a pretty decent job...well above averge"
10000100,FNAME101,LNAME101,,Field Operations,Northeast Region,2/17/2017 10:47,100.000.000.100,Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,7,,,,
10000101,FNAME102,LNAME102,,Center of Excellence,Shared Services,2/17/2017 12:57,100.000.000.101,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,10,"My Leadership team!
Open door policy with my Managers and Director.
That the company is headed into a Great direction.
Our 2017 Motto #GETTINGITRIGHT","Have a quarterly Moral Booster.
Bring back the Company contest.- They were fun and it was different than just the ordinary work.",I honestly can't think of the anything at the time.,
